Title,Author,Publisher,Number of Pages,Year Published,Date Added
Eight Dates: A Plan for Making Love Last Forever,John M. Gottman,Workman Publishing Company,224,2018,12/24/20
American Crisis: Leadership Lessons from the COVID-19 Pandemic,Andrew M. Cuomo,,,2020,11/30/20
"Unfree Speech: The Threat to Global Democracy and Why We Must Act, Now",Joshua Wong,Penguin Books,,2020,11/15/20
"The Unwinding of the Miracle: A Memoir of Life, Death, and Everything That Comes After",Julie Yip-Williams,Random House,336,2019,11/4/20
The Gucci Mane Guide to Greatness,Gucci Mane,,,2020,10/25/20
Girl in Translation,Jean Kwok,Riverhead,304,2010,10/25/20
Educated,Tara Westover,Random House,336,2018,10/10/20
Where the Crawdads Sing,Delia Owens,G.P. Putnam's Sons,379,2018,10/3/20
Make Time for Creativity: Finding Space for Your Most Meaningful Work (A Self-Guide and Tool Kit),Brandon Stosuy,Harry N. Abrams,144,2020,10/1/20
"Dear Girls: Intimate Tales, Untold Secrets, and Advice for Living Your Best Life",Ali Wong,Random House,224,2019,9/21/20
The Last Story of Mina Lee,Nancy Jooyoun Kim,Park Row,352,2020,9/21/20
Free Food for Millionaires,Min Jin Lee,Grand Central Publishing,577,2007,9/17/20
The Vanishing Half,Brit Bennett,Riverhead Books,350,2020,9/17/20
So You Want to Talk About Race,Ijeoma Oluo,Seal Press,266,2020,9/17/20
"Maybe You Should Talk to Someone: A Therapist, Her Therapist, and Our Lives Revealed",Lori Gottlieb,Houghton Mifflin Harcourt,415,2019,8/31/20
White Fragility: Why It's So Hard for White People to Talk About Racism,Robin DiAngelo,Beacon Press,187,2018,8/30/20
An Improbable Life: My Sixty Years at Columbia and Other Adventures,Michael I. Sovern,Columbia University Press,288,2014,8/10/20
Kings County,David Goodwillie,,,2020,8/3/20
"Well-Read Black Girl: Finding Our Stories, Discovering Ourselves",Glory Edim,Ballantine Books,201,2018,7/29/20
Days of Distraction,Alexandra Chang,HarperCollins,312,2020,7/27/20
Interior Chinatown,Charles Yu,Pantheon,288,2020,7/27/20
Disability Visibility: First-Person Stories from the Twenty-first Century,Alice  Wong,Vintage ,309,2020,7/27/20
Hood Feminism: Notes from the Women That a Movement Forgot,Mikki Kendall,Viking,288,2020,7/27/20
How to Be an Antiracist,Ibram X. Kendi,One World,305,2019,7/27/20
Why I'm No Longer Talking to White People About Race,Reni Eddo-Lodge,Bloomsbury Circus,249,2017,7/27/20
Minor Feelings: An Asian American Reckoning,Cathy Park Hong,One World,209,2020,7/27/20
The Collected Schizophrenias: Essays,Esmé Weijun Wang,Graywolf Press,208,2019,7/22/20
Braving the Wilderness: The Quest for True Belonging and the Courage to Stand Alone,Brené Brown,Random House,208,2017,7/22/20
Attached: The New Science of Adult Attachment and How It Can Help You Find—and Keep—Love,Amir Levine,Tarcher,304,2010,7/17/20
Big Friendship: How We Keep Each Other Close,Aminatou Sow,Simon  Schuster,256,2020,7/15/20
Measure What Matters,John E. Doerr,Penguin,320,2018,7/13/20
Build a Career in Data Science,Emily  Robinson,MEAP,250,2020,7/13/20
Manifesto for a Moral Revolution: Practices to Build a Better World,Jacqueline Novogratz,Henry Holt & Company,272,2020,7/10/20
Bored and Brilliant: How Spacing Out Can Unlock Your Most Productive & Creative Self,Manoush Zomorodi,St. Martin's Press,192,2017,6/24/20
The Idiot,Elif Batuman,Penguin Books,420,2017,5/27/20
Political Fictions,Joan Didion,Vintage,352,2002,5/24/20
Becoming,Michelle Obama,Crown,426,2018,5/24/20
Meet Me in the Bathroom: Rebirth and Rock and Roll in New York City 2001-2011,Lizzy Goodman,Dey Street Books,622,2017,5/3/20
The Colossus of New York,Colson Whitehead,Anchor,158,2004,4/1/20
Rising Strong,Brené Brown,Spiegel & Grau,336,2015,3/28/20